DrugName	CID
ADRENOGLOMERULOTROPIN	71028
ADRIAMYCIN	31703
ADU-S100	135390762
ADUCANUMAB	
AEE-788	10297043
AES-103	237332
AESCULIOSIDE IIA	46888259
AESCULIOSIDE IIB	46888297
AESCULIOSIDE IIB	162871778
AESCULIOSIDE IIC	46888296
AESCULIOSIDE IID	46888298
AESCULIOSIDE IIE	
AESCULIOSIDE IIIA	46888258
AESCULIOSIDE IIIB	46888251
AESCULIOSIDE IIIC	46888313
AESCULIOSIDE IIID	46888307
AESCULIOSIDE IIIE	46888308
AESCULIOSIDE IIIF	44479228
AESCULIOSIDE IIK	46888257
AESCULIOSIDE IVA	46888245
AESCULIOSIDE IVB	46888249
AESCULIOSIDE IVC	46888247
AEW-541	11476171
AFABICIN	72696796
AFACIFENACIN	42647276
AFAMELANOTIDE	16197727
AFAMELANOTIDE	16132954
AFASEVIKUMAB	
AFATINIB	10184653
AFATINIB DIMALEATE	15606394
AFEGOSTAT	447607
AFEGOSTAT TARTRATE	23581846
AFELETECAN	9941008
AFELIMOMAB	
AFIMOXIFENE	449459
AFIMOXIFENE	63062
AFIMOXIFENE	5352135
AFLATREME	21118293
AFLIBERCEPT	
AFLOQUALONE	2040
AFM-11	
AFN-1252	10407120
AFP-464	21144069
AFURESERTIB	46843057
AG-13958	9934283
AG-24322	135413565
AG1295	2048
AGATOLIMOD	
AGATOLIMOD SODIUM	70687254
AGG-523	16048422
AGMATINE	199
AGOMELATINE	82148
AGROCLAVINE	73484
AIDSVAX	
AILANTHINONE	441784
AILANTHINONE	428489
AILANTHINONE	3034613
AILANTHINONE	5458457
AILANTHINONE	118701210
AILANTHINONE	15594678
AJMALINE	6100671
AKN-028	44177328
AKNADILACTAM	15764659
AKUAMMIGINE	1268096
AKUAMMINE	13491909
AKUAMMINE	5149949
AKUAMMINE	44576034
AKUAMMINE	441978
AKUAMMINE	5281348
AL-43	
AL-901	
ALACEPRIL	71992
ALACHLOR	2078
ALACIZUMAB PEGOL	
ALAMIFOVIR	491022
ALANINE	5950
ALANINE	7311724
ALANINE	449619
ALANINE	155817681
ALANOSINE	135409347
ALANOSINE	135413540
ALANOSINE	136096147
ALANOSINE	135516356
ALANYL GLUTAMINE	123935
ALAPROCLATE	2081
ALAPROCLATE HYDROCHLORIDE	11957454
ALASA	196672
ALAZANINE	
ALBENDAZOLE	2082
ALBIGLUTIDE	145994868
ALBIGLUTIDE	155886935
ALBINTERFERON ALFA-2B	
ALBUMIN HUMAN	
ALBUMIN, IODINATED I 131 SERUM	
ALBUTEROL	2083
ALBUTEROL SULFATE	39859
ALCAFTADINE	19371515
ALCLOFENAC	30951
ALCLOMETASONE	5311000
ALCLOMETASONE DIPROPIONATE	636374
ALCOHOL	702
ALCURONIUM	21158560
ALCURONIUM	5311001
ALCURONIUM	101602193
ALCURONIUM	73754991
ALCURONIUM	21917745
ALCURONIUM	44427888
ALCURONIUM	44345559
ALCURONIUM	90659973
ALCURONIUM	155903687
ALDESLEUKIN	
ALDICARB	9570071
ALDISIN	3085877
ALDOPHOSPHAMIDE	107744
ALDOSTERONE	5839
ALDOXORUBICIN	9810709
ALDOXORUBICIN	25058411
ALDOXORUBICIN	71300693
ALDOXORUBICIN	129636048
ALDOXORUBICIN	9576002
ALDRIN	12310947
ALDRIN	2087
ALDRIN	222548
ALDRIN	24860538
ALDRIN	61103
ALDRIN	101611446
ALDRIN	118701038
ALECTINIB	49806720
ALECTINIB HYDROCHLORIDE	53239799
ALEFACEPT	
ALEGLITAZAR	10274777
ALEMCINAL	9918079
ALEMTUZUMAB	
ALENDRONATE SODIUM	16760285
ALENDRONIC ACID	2088
ALEPLASININ	10224267
ALEXIDINE DIHYDROCHLORIDE	102678
ALEXIDINE HYDROCHLORIDE	102678
ALFACALCIDOL	5282181
ALFACALCIDOL	5284515
ALFACALCIDOL	2091
ALFACALCIDOL	5283718
ALFACALCIDOL	443990
ALFACALCIDOL	5283723
ALFACALCIDOL	46780105
ALFACALCIDOL	145705856
ALFACALCIDOL	163285106
ALFACALCIDOL	45073394
ALFACALCIDOL	135391135
ALFACALCIDOL	134694392
ALFACALCIDOL	145705666
ALFACALCIDOL	134688803
ALFADEX	444913
ALFATRADIOL	68570
ALFAXALONE	104845
ALFENTANIL	51263
ALFENTANIL HYDROCHLORIDE	64761
ALFIMEPRASE	
ALFLUTINIB	118861389
ALFUZOSIN	2092
ALFUZOSIN HYDROCHLORIDE	71764
ALGENPANTUCEL-L	
ALGLUCERASE	
ALGLUCOSIDASE ALFA	
ALICAFORSEN	16197725
ALICAFORSEN	16197724
ALILUSEM	6338015
ALIROCUMAB	
ALISERTIB	24771867
ALISKIREN	5493444
ALISKIREN FUMARATE	9939627
ALISKIREN FUMARATE	6918427
ALISKIREN FUMARATE	5493444
ALISPORIVIR	11513676
ALITRETINOIN	449171
ALIZAPRIDE	
ALKAVERVIR	
ALLANTODAPSONE	234402
ALLANTOIN	204
ALLETHRIN	11442
ALLICIN	65036
ALLISAN	7430
ALLITINIB	24739943
ALLITRIDIN	16315
ALLO-OCIMENE	5368821
ALLOPURINOL	135401907
ALLOPURINOL SODIUM	23662349
ALLOPURINOL SODIUM	135534565
ALLOPURINOL SODIUM	70691471
ALLOSAMIZOLINE	5287673
ALLOSAMIZOLINE	2095
ALLOSAMIZOLINE	46936968
ALLOXAN	5781
