DiseaseID	DrugID
EFO_0000294	CHEMBL3301587
EFO_0000305	CHEMBL1201529
EFO_0000305	CHEMBL83
EFO_0000305	CHEMBL1200501
EFO_0000305	CHEMBL1683590
EFO_0000305	CHEMBL1908360
EFO_0000305	CHEMBL1637
EFO_0000305	CHEMBL92
EFO_0000305	CHEMBL3137318
EFO_0000305	CHEMBL1201247
EFO_0000305	CHEMBL3989921
EFO_0000305	CHEMBL1773
EFO_0000305	CHEMBL786
EFO_0000305	CHEMBL180022
EFO_0000305	CHEMBL34259
EFO_0000305	CHEMBL3545252
EFO_0000305	CHEMBL428647
EFO_0000305	CHEMBL88
EFO_0000305	CHEMBL1201179
EFO_0000305	CHEMBL888
EFO_0000305	CHEMBL2396661
EFO_0000305	CHEMBL3545110
EFO_0000305	CHEMBL1201585
EFO_0000305	CHEMBL3137320
EFO_0000305	CHEMBL3707227
EFO_0000305	CHEMBL1200796
EFO_0000305	CHEMBL417
EFO_0000305	CHEMBL1358
EFO_0000305	CHEMBL3707266
EFO_0000305	CHEMBL2007641
EFO_0000305	CHEMBL3545262
EFO_0000305	CHEMBL1444
EFO_0000305	CHEMBL1200374
EFO_0000305	CHEMBL3989868
EFO_0000305	CHEMBL359744
EFO_0000305	CHEMBL189963
EFO_0000305	CHEMBL1201752
EFO_0000305	CHEMBL3301610
EFO_0000305	CHEMBL1655
EFO_0000305	CHEMBL554
EFO_0000305	CHEMBL1237023
EFO_0000305	CHEMBL1200981
EFO_0000305	CHEMBL53463
EFO_0000305	CHEMBL1399
EFO_0000305	CHEMBL1743082
EFO_0000305	CHEMBL1200675
EFO_0000305	CHEMBL1683544
EFO_0000305	CHEMBL4297844
EFO_0000311	CHEMBL1201782
EFO_0000311	CHEMBL1773
EFO_0000311	CHEMBL2216870
EFO_0000311	CHEMBL1229517
EFO_0000311	CHEMBL428647
EFO_0000311	CHEMBL2368924
EFO_0000311	CHEMBL1201139
EFO_0000311	CHEMBL3187723
EFO_0000311	CHEMBL917
EFO_0000311	CHEMBL810
EFO_0000311	CHEMBL2103744
EFO_0000311	CHEMBL3989939
EFO_0000311	CHEMBL1201577
EFO_0000311	CHEMBL20883
EFO_0000311	CHEMBL671
EFO_0000311	CHEMBL1421
EFO_0000311	CHEMBL289469
EFO_0000311	CHEMBL1738797
EFO_0000311	CHEMBL2028663
EFO_0000311	CHEMBL1096882
EFO_0000311	CHEMBL1189679
EFO_0000311	CHEMBL3989868
EFO_0000311	CHEMBL535
EFO_0000311	CHEMBL2068237
EFO_0000311	CHEMBL820
EFO_0000311	CHEMBL3545432
EFO_0000311	CHEMBL118
EFO_0000311	CHEMBL4204794
EFO_0000311	CHEMBL465
EFO_0000311	CHEMBL44657
EFO_0000311	CHEMBL1358
EFO_0000311	CHEMBL2007641
EFO_0000311	CHEMBL3039502
EFO_0000311	CHEMBL473417
EFO_0000311	CHEMBL1201746
EFO_0000311	CHEMBL596
EFO_0000311	CHEMBL487253
EFO_0000311	CHEMBL888
EFO_0000311	CHEMBL105
EFO_0000311	CHEMBL2396661
EFO_0000311	CHEMBL3889654
EFO_0000311	CHEMBL3833373
EFO_0000311	CHEMBL1201827
EFO_0000311	CHEMBL3545185
EFO_0000311	CHEMBL1683590
EFO_0000311	CHEMBL1336
EFO_0000311	CHEMBL408513
EFO_0000311	CHEMBL1200386
EFO_0000311	CHEMBL1082407
EFO_0000311	CHEMBL553
EFO_0000311	CHEMBL3137309
EFO_0000311	CHEMBL3137320
EFO_0000311	CHEMBL1983268
EFO_0000311	CHEMBL24828
EFO_0000311	CHEMBL2141296
EFO_0000311	CHEMBL1173055
EFO_0000311	CHEMBL1908360
EFO_0000311	CHEMBL254328
EFO_0000311	CHEMBL3137343
EFO_0000311	CHEMBL1200796
EFO_0000311	CHEMBL1614701
EFO_0000311	CHEMBL1789941
EFO_0000311	CHEMBL1200374
EFO_0000311	CHEMBL1743062
EFO_0000311	CHEMBL98
EFO_0000311	CHEMBL1200940
EFO_0000311	CHEMBL1201752
EFO_0000311	CHEMBL554
EFO_0000311	CHEMBL1580
EFO_0000311	CHEMBL1743007
EFO_0000311	CHEMBL2110732
EFO_0000311	CHEMBL4297522
EFO_0000311	CHEMBL2105717
EFO_0000311	CHEMBL1743082
EFO_0000311	CHEMBL521686
EFO_0000311	CHEMBL1489
EFO_0000311	CHEMBL939
EFO_0000311	CHEMBL86
