DrugName	CID
1,1,1,2,2,3,3-heptafluoro-8-phenyloctan-4-ol	
1,1,1,2,2,4-hexafluoro-7-phenylheptan-3-one	25060074
1,1,1,2,2-Pentafluorohexane	125096
1,1,1,2-TETRAFLUOROETHANE	13129
1,1,1,3-Tetrafluoro-6-phenylhexan-2-one	25059820
1,1,1,3-Tetrafluoro-7-phenylheptan-2-one	
1,1,1-TRICHLOROETHANE	6278
1,1,1-Trifluoro-5-(4-octylphenoxy)pentan-2-one	25059559
1,1,1-trifluorododecan-2-one	176445
1,1,1-trifluorohenicosa-6,9,12,15-tetraen-2-one	
1,1,2,2,3,3-hexabromocyclododecane	15724678
1,1-Bis(4-hydroxyphenyl)-2-phenylbut-1-ene	63059
1,1-Bis(4-hydroxyphenyl)cyclohexane	232446
1,10-Phenanthroline-5,6-dione	72810
1,10-phenanthroline	1318
1,2,3,4,6-pentakis-o-(3,4,5-trihydroxybenzoyl)-d-glucopyranose	
1,2,3,4-Tetrahydro-2-naphthol	10747
1,2,3,4-Tetrahydro-2-naphthylamine	34677
1,2,3,4-Tetrahydroisoquinoline	7046
1,2,3,4-Tetrahydroisoquinoline-3-carboxylic acid	95489
1,2,3,4-Tetrahydroisoquinoline-7-sulfonamide	5226
1,2,3,4-Tetrahydronaphthalene	8404
1,2,3,4-tetrahydroisoquinolin-7-ol	419268
1,2,3,4-tetrahydropyrazino[1,2-a]indole	14595509
1,2,3,5-TETRACHLOROBENZENE	12468
1,2,3,6,7,8-HEXACHLORODIBENZO-P-DIOXIN	42540
1,2,3,7,8-PENTACHLORODIBENZO-P-DIOXIN	38439
1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester	553132
1,2,3-TRICHLOROPROPANE	7285
1,2,4-BENZENETRIOL	10787
1,2,4-TRIAZOLE-CARBOXAMIDINE	3387240
1,2,4-Triazolo[4,3-b]pyridazine, 3-(3-nitrophenyl)-6-(1-piperidinyl)-(D2 Roche)	
1,2,4-trichlorobenzene	13
1,2,7,8-TETRACHLORODIBENZOFURAN	42844
1,2,9,10-tetramethoxyaporphine	
1,2-Aceanthrylenedione	316765
1,2-Benzanthraquinone	17253
1,2-Benzisothiazol-3(2H)-one	17520
1,2-DIBROMO-3-CHLOROPROPANE	7280
1,2-DIBROMO-4-(1,2-DIBROMOETHYL)CYCLOHEXANE	18728
1,2-DICHLOROBENZENE	7239
1,2-DICHLOROPROPANE	6564
1,2-DIMETHYLHYDRAZINE	1322
1,2-DIMETHYLNAPHTHALENE	11317
1,2-DIPALMITOYLPHOSPHATIDYLCHOLINE	6138
1,2-Diacetoxylycorine	10429288
1,2-Dibromo-2,4-dicyanobutane	61948
1,2-Dibromoethane	7839
1,2-Dihydro-1,2-dihydroxy-5-methylchrysene	49838
1,2-Distearoyl-sn-glycero-3-phosphocholine	94190
1,2-Ethanediyl dioleate	5378708
1,2-NAPHTHOQUINONE	10667
1,2-bis(3,5-difluorophenyl)ethane-1,2-dione	11437501
1,2-dichloroethane	11
1,2-dihydrobenzo[k]tetraphene-1,2-diol	159619
1,2-dinaphthalen-2-ylethane-1,2-dione	3274712
1,2-dioctanoyl-sn-glycerol	148879
1,2-propanediol	1030
