DrugName	CID
(10R,11S)-13-[(2R)-1-hydroxypropan-2-yl]-10-[[(2-methoxyphenyl)methyl-methylamino]methyl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637651
(10R,11S)-13-[(2R)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-3-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54637660
(10R,11S)-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl(pyridin-3-ylmethyl)amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637786
(10R,11S)-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	46912146
(10R,11S)-13-[(2S)-1-hydroxypropan-2-yl]-10-[[(2-methoxyphenyl)methyl-methylamino]methyl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835554
(10R,11S)-13-[(2S)-1-hydroxypropan-2-yl]-10-[[(3-methoxyphenyl)methyl-methylamino]methyl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835520
(10R,11S)-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-3-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54637662
(10R,11S)-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54638108
(10R,11S)-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-10-(methylaminomethyl)-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	46903255
(10R,11S)-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl(pyridin-3-ylmethyl)amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835217
(10R,11S)-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835207
(10R,11S)-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl-[(4-methyl-2,3-dihydro-1,4-benzoxazin-7-yl)methyl]amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835547
(10R,13S,17R)-13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one	5702096
(10R,13S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one	5702093
(10R,13S,17R)-17-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-6,7,8,9,12,14,15,16-octahydrocyclopenta[a]phenanthrene-3,11-dione	5702108
(10R,13S,17S)-17-acetyl-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one	5320716
(10R,13S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one	5701998
(10S,11R)-10-[(dimethylamino)methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11,16-dimethyl-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54637739
(10S,11R)-10-[(dimethylamino)methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637989
(10S,11R)-10-[(dimethylamino)methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637988
(10S,11R)-10-[[(3-fluorophenyl)methyl-methylamino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638026
(10S,11R)-10-[[(3-fluorophenyl)methyl-methylamino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638025
