DiseaseID	DrugCID
C0006181	54671203
C0006266	5702073
C0006266	657308
C0006266	9294
C0006266	11553369
C0006266	2083
C0006266	2153
C0006266	31098
C0006266	124080907
C0006266	9433
C0006266	3182
C0006267	439260
C0006267	12035
C0006267	4845
C0006267	5862
C0006267	25150
C0006267	5816
C0006267	60960
C0006277	54671203
C0006277	5403
C0006277	71311649
C0006277	9433
C0006277	14956
C0006277	132274080
C0006277	132274085
C0006277	129629095
C0006277	45105094
C0006277	90437953
C0006277	92329211
C0006277	5943039
C0006277	91323352
C0006277	5386092
C0006277	5816
C0006277	6604438
C0006277	54362
C0006277	6321411
C0006277	5362065
C0006277	44421047
C0006277	5280965
C0006277	5862
C0006277	1972
C0006277	4086
C0006277	4539
C0006277	145705939
C0006277	12035
C0006277	118705500
C0006277	46783793
C0006277	3000226
C0006277	50990393
C0006277	134719018
C0006277	16667679
C0006277	5281006
C0006277	6436628
C0006277	2153
C0006277	53486284
C0006277	4583
C0006277	54675776
C0006277	19003
C0006277	139246982
C0006277	54675783
C0006277	73438937
C0006277	9919339
C0006277	23863720
C0006277	91827561
C0006277	135391140
C0006277	439260
C0006277	3948
C0006277	44399170
C0006277	124080907
C0006277	60148420
C0006277	31098
C0006277	129009964
C0006277	6917067
C0006277	6473883
C0006277	60960
C0006277	25150
C0006277	54675779
C0006277	657308
C0006277	134693953
C0006277	146159353
C0006277	71306790
C0006277	78358338
C0006277	5702073
C0006277	9294
C0006277	54680690
C0006277	4845
C0006277	71729967
C0006277	70789200
C0006277	126968498
C0006277	46783780
C0006277	5464388
C0006277	46705321
C0006277	11553369
C0006309	14956
C0006309	54675776
C0006309	50990393
C0006309	5386092
C0006309	135391140
C0006309	46783793
C0006309	118705500
C0006309	19649
C0006309	16667679
C0006309	54675779
C0006309	1972
C0006309	145705939
C0006309	73438937
C0006309	3000226
C0006309	91827561
C0006309	9919339
C0006309	44399170
C0006309	23863720
C0006309	139246982
C0006309	54680690
C0006309	71311649
C0006309	53486284
C0006309	44421047
C0006309	54671203
C0006309	54675783
C0006309	5280965
C0006309	134719018
C0006413	62313
C0006413	122172881
C0006413	71296921
C0006413	126941
C0006413	5978
C0006413	134755071
C0006413	45358158
C0006413	5743
C0006413	31703
C0006413	3717450
C0006413	5388993
C0006413	6324671
C0006434	4886
C0006434	14806
C0006444	31307
C0006444	9782
C0006444	54708862
C0006444	3045402
C0006444	156391
C0006444	1548887
C0006444	5282387
C0006444	64738
C0006444	6741
C0006444	5743
C0006444	5755
C0006444	5745
C0006444	24871323
C0006444	3715
C0006444	54684589
C0006444	5754
C0006840	44399170
C0006840	71311649
C0006840	5280965
C0006840	16667679
C0006840	50990393
C0006840	9919339
C0006840	53486284
C0006840	46783793
C0006840	118705500
C0006840	145705939
C0006840	73438937
C0006840	135391140
C0006840	23863720
C0006840	468595
C0006840	44421047
C0006840	134719018
C0006840	1972
C0006840	14956
C0006840	139246982
C0006840	5386092
C0006840	91827561
C0006846	6420032
C0006846	47576
C0006846	5702077
C0006846	3198
C0006846	145705939
C0006846	14806
C0006846	50990393
C0006846	11286230
C0006846	456201
C0006846	5386092
C0006846	53486284
C0006846	162343947
C0006846	146156144
C0006846	118705500
C0006846	138403272
C0006846	135391140
C0006846	5280965
C0006846	6433272
C0006846	73952271
C0006846	3823
C0006846	14956
C0006846	16667679
C0006846	133124921
C0006846	2749
C0006846	60196358
C0006846	44424838
C0006846	23863720
C0006846	71311649
C0006846	139246982
C0006846	4189
C0006846	91827561
C0006846	14960
C0006846	4568
C0006846	102090452
C0006846	73438937
C0006846	24840667
C0006846	129627734
C0006846	9919339
C0006846	16219709
C0006846	1972
C0006846	31307
C0006846	5311331
C0006846	46783793
C0006846	5702099
C0006846	146679386
C0006846	2812
C0006846	44399170
C0006846	44421047
C0006846	134719018
C0006846	73951506
C0006848	6433272
C0006848	73952271
C0006848	129627734
C0006848	14960
C0006848	3365
C0006848	162343947
C0006848	138403272
C0006848	102090452
C0006848	133124921
