TTD_ID	CID
D00JAH	
D00JAT	5359966
D00JAU	3749
D00JBC	12905389
D00JBM	
D00JCA	
D00JCB	
D00JCQ	
D00JDJ	
D00JDL	
D00JDP	
D00JEC	
D00JED	
D00JEO	44269079
D00JFE	
D00JFN	
D00JGL	6419753
D00JGN	
D00JHE	
D00JHN	6539196
D00JID	44412001
D00JIV	
D00JIX	
D00JJG	
D00JJO	11973921
D00JJP	3025824
D00JJW	394347
D00JJZ	
D00JKB	
D00JKJ	71537
D00JLX	
D00JME	
D00JMG	
D00JMT	210332
D00JMY	
D00JMZ	190809
D00JNH	
D00JNL	65649
D00JNT	10409873
D00JPB	44434951
D00JPH	193218
D00JPK	
D00JPV	243391
D00JQA	
D00JQE	
D00JQQ	
D00JRA	163091
D00JRD	5283077
D00JRS	
D00JSG	
D00JTE	45271007
D00JUD	184462
D00JUI	
D00JUO	53380924
D00JVC	11960893
D00JVQ	
D00JVR	2267
D00JWA	46880333
D00JWB	90642938
D00JWL	
D00JWN	
D00JWR	3001114
D00JXJ	
D00JXL	746475
D00JXV	
D00JYL	16221495
D00JZD	
D00JZS	
D00JZX	
D00KCB	449156
D00KCR	
D00KCT	
D00KDF	3387354
D00KDQ	
D00KDT	
D00KDZ	44588139
D00KEF	6917685
D00KEP	6049
D00KEX	
D00KFB	
D00KFF	9882812
D00KFI	
D00KGB	
D00KGI	
D00KGK	44364603
D00KGL	
D00KHD	
D00KHI	
D00KHM	16362
D00KIE	6918282
D00KII	
D00KIK	398369
D00KIU	
D00KIV	10420292
D00KJO	
D00KJP	21845841
D00KJV	44560309
D00KKD	
D00KKN	44579601
D00KLH	
D00KLP	
D00KMC	56947050
D00KMI	
D00KML	
D00KMP	44431763
D00KMQ	
D00KNI	
D00KOE	18983431
D00KOV	60810
D00KPQ	
D00KPR	56947006
D00KQB	21341306
D00KQN	
D00KQT	
D00KRE	22419
D00KRL	10132921
D00KRQ	23113096
D00KRT	19190
D00KSS	18411961
D00KSU	
D00KTE	11514390
D00KTI	
D00KTN	
D00KTT	44568318
D00KTV	5469318
D00KUD	
D00KVE	9907323
D00KVH	
D00KVO	2082
D00KVX	15603282
D00KWA	53084
D00KWF	
D00KWL	16098859
D00KXJ	
D00KXO	
D00KXQ	
D00KXZ	197584
D00KZF	2419
D00KZO	21147013
D00LAA	
D00LAR	11409845
D00LBC	
D00LBD	93514
D00LBX	10237
D00LCE	1550
D00LCT	
D00LDI	
D00LEN	
D00LEQ	56603768
D00LFB	33572
D00LFX	20718630
D00LGA	
D00LGR	
D00LHF	16047979
D00LHI	
D00LHN	
D00LHS	11455910
D00LHT	
D00LJF	
D00LLI	
D00LLN	
D00LLO	25050067
D00LMA	
D00LMG	5281697
D00LMR	
D00LMT	23727896
D00LMY	
D00LNK	5311285
D00LNW	71481097
D00LOB	9866964
D00LOL	970375
D00LPZ	
D00LRC	10422592
D00LRP	
D00LSD	
D00LSI	9820008
D00LSM	
D00LSQ	
D00LSW	135564707
D00LSZ	11044829
D00LVA	9816447
D00LVD	
D00LVW	44456141
D00LWD	
D00LWF	43345
D00LWG	46880545
D00LWQ	7729032
D00LWR	
D00LWS	6436122
D00LWX	
D00LWY	
D00LXB	
D00LXD	
D00LXH	10753358
D00LYE	
