DrugID	CID	
CHEMBL1908360	6442177
CHEMBL254328	132971
CHEMBL3137343	
CHEMBL1200796	22420
CHEMBL1614701	10127622
CHEMBL1789941	25126798
CHEMBL1200374	60198
CHEMBL1743062	
CHEMBL98	5311
CHEMBL1200940	441347
CHEMBL1201752	6445540
CHEMBL554	208908
CHEMBL1580	439693
CHEMBL1743007	
CHEMBL2110732	11511120
CHEMBL4297522	86705695
CHEMBL2105717	25102847
CHEMBL1743082	
CHEMBL521686	23725625
CHEMBL1489	9444
CHEMBL939	123631
CHEMBL86	4168
CHEMBL1399	2187
CHEMBL691	5991
CHEMBL70	5288826
CHEMBL414804	
CHEMBL2021430	16961
CHEMBL3545376	67462786
CHEMBL84	60700
CHEMBL225072	135410875
CHEMBL2362016	518605
CHEMBL3301587	
CHEMBL477772	10113978
CHEMBL1094636	24958200
CHEMBL476	135398738
CHEMBL450449	108150
CHEMBL941	5291
CHEMBL1201576	
CHEMBL189963	5330286
CHEMBL3301612	50922675
CHEMBL451887	11556711
CHEMBL3301610	46220502
CHEMBL1720	6918303
CHEMBL1201568	
CHEMBL483254	6918837
CHEMBL271227	9821849
CHEMBL53463	31703
CHEMBL2108581	
CHEMBL2368925	3033818
CHEMBL2403108	57379345
CHEMBL852	460612
CHEMBL325041	387447
CHEMBL1742982	
CHEMBL1946170	11167602
CHEMBL601719	11626560
CHEMBL1743048	
CHEMBL1789844	
CHEMBL343448	5352062
CHEMBL1201748	9854073
CHEMBL11359	
CHEMBL1201836	
CHEMBL88	2907
CHEMBL46	4595
CHEMBL4297723	
CHEMBL1201129	451668
CHEMBL3353410	71496458
CHEMBL3545252	148123
CHEMBL803	6253
CHEMBL92	148124
CHEMBL4297185	67171867
CHEMBL34259	126941
CHEMBL688	13810
CHEMBL1750	119182
CHEMBL185	3385
CHEMBL384467	5743
CHEMBL2103875	11707110
CHEMBL3988900	3007857
CHEMBL1289601	9823820
CHEMBL3301589	
CHEMBL3989908	89683805
CHEMBL3989958	71657455
CHEMBL2108738	
CHEMBL1201583	
CHEMBL1201566	
CHEMBL481	60838
CHEMBL1471	135413536
CHEMBL1201182	6918289
CHEMBL134	2803
CHEMBL2110725	10629256
CHEMBL1024	3690
CHEMBL1467	135401907
CHEMBL2218896	39860
CHEMBL255863	644241
CHEMBL3707227	
CHEMBL1199324	135413538
CHEMBL1351	
CHEMBL1201585	
CHEMBL553025	5311497
CHEMBL1200953	636398
CHEMBL1201567	
CHEMBL3286830	71731823
CHEMBL1201302	9400
CHEMBL1289926	6450551
CHEMBL2043437	25166913
CHEMBL46286	285033
CHEMBL1173655	10184653
CHEMBL2146883	16222096
CHEMBL1200721	444000
CHEMBL53463	31703
CHEMBL1201785	6433082
CHEMBL852	460612
CHEMBL3989514	60837
CHEMBL428647	36314
CHEMBL1200776	156418
CHEMBL806	3397
CHEMBL481	60838
CHEMBL1201247	5311128
CHEMBL1201284	156419
CHEMBL359744	443939
CHEMBL409	2375
CHEMBL1756	259329
CHEMBL84	60700
CHEMBL1200501	16052011
CHEMBL1096885	454216
CHEMBL1607	60699
CHEMBL1201784	6433083
CHEMBL671	5453
CHEMBL1200778	6918223
CHEMBL1738	71384
CHEMBL2103837	11001318
CHEMBL2105675	24970412
CHEMBL588	3341
CHEMBL317052	219024
CHEMBL159226	4260
CHEMBL222863	439501
CHEMBL45816	60663
CHEMBL495	5280723
CHEMBL24	2249
CHEMBL1095097	443872
CHEMBL878	4170
CHEMBL1372950	34040
CHEMBL557555	2763
CHEMBL2108304	
CHEMBL628	4740
CHEMBL2364968	90661668
CHEMBL1428	4497
CHEMBL203266	21109
CHEMBL3990033	
CHEMBL503	53232
CHEMBL1064	54454
CHEMBL254219	441207
CHEMBL435	3639
CHEMBL1201745	11350701
CHEMBL585	5546
CHEMBL546	4631
CHEMBL1592	54892
CHEMBL1201234	3677
CHEMBL1008	2351
CHEMBL842	2720
CHEMBL1616951	656615
CHEMBL499	33624
CHEMBL1463345	13789
CHEMBL354541	9853053
CHEMBL642	1978
CHEMBL1165	91270
CHEMBL1577	4121
CHEMBL1290	37464
CHEMBL1329455	5353788
CHEMBL559	8730
CHEMBL456	3278
CHEMBL578	5388962
CHEMBL723	2585
CHEMBL77622	55483
CHEMBL1480	3333
CHEMBL1069	60846
CHEMBL608	4912
CHEMBL1054	5560
CHEMBL2103827	92974
CHEMBL1477	446156
CHEMBL500	4828
CHEMBL1487	60823
CHEMBL75753	155774
CHEMBL423	2369
CHEMBL419213	5362118
CHEMBL679	5816
CHEMBL1148	41781
CHEMBL75880	4746
CHEMBL250270	65866
CHEMBL1017	65999
CHEMBL344159	216237
CHEMBL504760	159055
CHEMBL211456	9294
CHEMBL1648	3784
CHEMBL502097	44564107
CHEMBL1138	150311
CHEMBL2364655	
CHEMBL515606	56330
CHEMBL945	16231
CHEMBL6	3715
CHEMBL249856	53708
CHEMBL770	5504
CHEMBL1763	3647
CHEMBL305187	3689
CHEMBL1144	54687
CHEMBL6966	2520
CHEMBL3039598	9601226
CHEMBL1311	27661
CHEMBL431	5311447
CHEMBL768	59768
CHEMBL434	3779
CHEMBL27810	2663
CHEMBL2219536	44564108
CHEMBL1624126	9913
CHEMBL1639	5493444
CHEMBL1237132	153994
CHEMBL1889436	6364534
CHEMBL1215	6041
CHEMBL27	4946
CHEMBL3545057	5284512
CHEMBL471	5253
CHEMBL1908307	4474062
CHEMBL2028661	135409642
CHEMBL1519	5484727
CHEMBL12856	3698
CHEMBL24072	9801
CHEMBL506569	656630
CHEMBL1491	2162
CHEMBL1496	446157
CHEMBL267744	38409
CHEMBL232201	6237
CHEMBL2106794	71688
CHEMBL1200692	130881
CHEMBL434394	71301
CHEMBL1532	6307
CHEMBL981	64929
CHEMBL1587	4870
CHEMBL1614	28620
CHEMBL1371200	23671691
CHEMBL3707352	
CHEMBL3545313	10472693
CHEMBL813	5281037
CHEMBL1393	5833
CHEMBL565	2796
CHEMBL92870	3926
CHEMBL6995	4883
CHEMBL61593	2910
CHEMBL406	3702
CHEMBL926	36811
CHEMBL231884	5281613
CHEMBL189	4197
CHEMBL1684	2315
CHEMBL1201319	5906
CHEMBL317094	5464343
CHEMBL1751	2724385
CHEMBL1168	5362129
CHEMBL597	5775
CHEMBL2220442	5353627
CHEMBL35	3440
CHEMBL517199	26618
CHEMBL1581	107807
CHEMBL1072	2471
CHEMBL600325	5284613
CHEMBL1484	4474
CHEMBL4066936	54674461
CHEMBL1513	3749
CHEMBL1560089	9912
CHEMBL1201753	5282452
CHEMBL349803	4849
CHEMBL434200	36920
CHEMBL672	3339
CHEMBL1014	2540
CHEMBL1237	5362119
CHEMBL1480987	2893
CHEMBL1755	151171
CHEMBL460291	5311217
CHEMBL1437	439260
CHEMBL408403	172198
CHEMBL1201212	4195
CHEMBL1697843	443946
CHEMBL13	4171
CHEMBL191	3961
CHEMBL475534	4507
CHEMBL1726	4499
CHEMBL1201251	60789
CHEMBL524	6082
CHEMBL404849	5354
CHEMBL471737	132999
CHEMBL1560	44093
CHEMBL839	2583
CHEMBL1201668	
CHEMBL3989695	44154280
CHEMBL1373254	2904
CHEMBL1200711	9831414
CHEMBL1165342	15376
CHEMBL86882	3306
CHEMBL645	2405
CHEMBL1874750	5282459
CHEMBL429	3869
CHEMBL193	4485
CHEMBL2109540	
CHEMBL23	39186
CHEMBL1055	2732
CHEMBL2311030	71717894
CHEMBL6622	6883
CHEMBL284906	47528
CHEMBL2105131	4047
CHEMBL838	5362124
CHEMBL1404	56959
CHEMBL59	681
CHEMBL457	3463
CHEMBL753	4768
CHEMBL521	3672
CHEMBL690	16759173
CHEMBL730	4510
CHEMBL264374	39042
CHEMBL649	39147
CHEMBL477	60961
CHEMBL466659	6518
CHEMBL513	2578
CHEMBL2108738	
CHEMBL1200485	406563
CHEMBL1201583	
CHEMBL1336	216239
CHEMBL1201733	11525740
CHEMBL477772	10113978
CHEMBL1171837	24826799
CHEMBL2105708	46908927
CHEMBL820	2478
CHEMBL1201740	16757572
CHEMBL1421	3062316
CHEMBL288441	5328940
CHEMBL941	5291
CHEMBL1642	123596
CHEMBL467	3657
CHEMBL255863	644241
CHEMBL605846	11504295
CHEMBL3989798	9919001
CHEMBL714	2083
CHEMBL1789842	9827599
CHEMBL1473	444036
CHEMBL3833319	11753673
CHEMBL1951071	53241147
CHEMBL1194325	11434515
CHEMBL2134724	16738693
CHEMBL1621597	657309
CHEMBL1082607	56801
CHEMBL1198857	10184665
CHEMBL1263	5152
CHEMBL1363	3083544
CHEMBL1201231	72078
CHEMBL2105743	11711522
CHEMBL3707243	71680039
CHEMBL3545181	11431811
CHEMBL523299	11519069
CHEMBL1084172	44482554
CHEMBL551466	11519741
CHEMBL1095777	6918554
CHEMBL1201014	441409
CHEMBL1370	5281004
CHEMBL1201335	3494
CHEMBL1676	9854489
CHEMBL529	447043
CHEMBL1441059	39859
CHEMBL1256786	3410
CHEMBL193240	449193
CHEMBL1187833	11519070
CHEMBL1900528	5487427
CHEMBL477772	10113978
CHEMBL1200485	406563
CHEMBL2103868	25102846
CHEMBL1567	6456015
CHEMBL1908360	6442177
CHEMBL2108738	
CHEMBL4585668	117947097
CHEMBL2105717	25102847
CHEMBL1201182	6918289
CHEMBL1201733	11525740
CHEMBL1336	216239
CHEMBL535	5329102
CHEMBL1201583	
CHEMBL1289926	6450551
CHEMBL1908361	135500522
CHEMBL1129	6256
CHEMBL1201827	
CHEMBL1908841	135398559
CHEMBL1742982	
CHEMBL1946170	11167602
CHEMBL65375	9903778
